npi,sum_benes,dataset,metric,reason,sum_srvcs,profile_id,sum_payment_amount
1053336602,4951.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023259777,3106.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013934579,2685.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013105949,2491.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003260654,6719.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033192992,12075.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043225923,4755.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013112671,2928.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033157672,4420.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003877580,2757.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043252273,6774.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013994987,3666.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043208127,3977.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043325822,2797.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033105507,3810.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013405547,3083.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013191600,3918.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013141555,3482.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043453855,2822.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013172907,2806.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013943737,2734.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033148382,3274.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033194048,2845.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033115639,2973.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023597655,6963.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023118916,12629.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043221658,3319.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013983402,6687.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013907476,3725.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013991124,2997.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033231105,2972.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023165685,3542.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043743594,2745.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003041765,2845.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043415789,2659.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043265648,2558.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003027376,8817.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043253693,3946.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023092343,3600.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043545965,4232.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023076379,5943.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043221492,4258.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023570488,3869.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003888421,2809.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023309325,3930.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043261373,4740.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053337931,2655.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033156617,4924.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043865421,4922.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033197454,3365.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003889304,4108.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013995406,3448.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043521024,5669.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013943026,5178.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043352586,17165.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033552237,2999.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013331735,3989.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003880170,2761.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023213071,3885.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023165289,4861.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003876285,4495.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013199868,3660.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023094737,2630.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023061850,3851.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043427081,2550.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023421849,2474.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013127026,3929.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013061464,3527.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033319991,2478.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003995291,3298.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023012960,5734.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013221761,3035.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003829730,3413.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1043200579,5273.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1053312694,2977.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003883539,5497.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1013014752,3529.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1003904673,120072.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1023251832,3102.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
1033125372,5889.0,providers_a,sum_benes,MAD z-score >= 8 (extreme outlier),,,
